down_level,test_exact_match,test_correct_percent,test_unparse_type_errors_percent,test_unparse_value_errors_percent,test_proglen,test_total_miss,test_incomplete_miss,test_incomplete_progcount,test_group_miss,test_first_miss_depth,test_first_miss_pos,test_tail_label_tokens_count,test_tail_predictiton_tokens_count,test_shorter_count,test_longer_count,test_samesize_error_count,test_bleu,test_chrf,test_CodeBLEU,seed,timestamp
0.0,0.25757575757575757,1.0,0.0,0.0,190.77272727272728,5619,0,0,1736,4.673469387755102,29.20408163265306,4547,14,40,1,8,0.7471573421820782,80.6034218080971,0.7370296441918901,17,2023-01-24 17:12:05.989565
0.0,0.3181818181818182,1.0,0.0,0.0,199.5151515151515,5036,0,0,1547,5.022222222222222,31.8,4006,50,36,4,5,0.7744691542741954,82.71259797356001,0.7740404476703351,113,2023-01-24 18:36:57.770088
0.0,0.30303030303030304,1.0,0.0,0.0,197.0909090909091,5700,0,0,1828,4.804347826086956,28.32608695652174,4187,71,36,6,4,0.7502159908554161,80.47340117506117,0.7352727144692911,313,2023-01-24 20:01:12.622647
1.0,0.24242424242424243,0.3333333333333333,0.0,0.0,339.72727272727275,9728,7361,12,6468,4.62,28.76,1999,7297,31,12,7,0.9515598189875905,95.3935221672879,0.9237065945164724,17,2023-01-24 21:25:53.656319
0.0,0.2878787878787879,1.0,0.0,0.0,203.6818181818182,5123,0,0,1618,4.957446808510638,32.659574468085104,3747,66,36,7,4,0.7746299513926928,82.23776119342692,0.7730398194230073,349,2023-01-24 22:51:23.821154
0.0,0.25757575757575757,1.0,0.0,0.0,194.3181818181818,5521,0,0,1707,4.795918367346939,30.857142857142858,4357,58,40,4,5,0.7506517585690361,80.59736680085686,0.7451668389532464,509,2023-01-25 00:15:40.348736
1.0,0.24242424242424243,0.3484848484848485,0.0,0.0,304.09090909090907,7073,4795,9,3453,4.92,29.08,1850,4796,25,15,10,0.9510795651475151,95.30903727692667,0.9245353687920288,113,2023-01-25 01:40:21.620175
1.0,0.24242424242424243,0.3333333333333333,0.0,0.0,336.1363636363636,9055,6900,11,4874,4.92,31.26,1770,6831,26,14,10,0.949564850387707,95.30159749777208,0.9249157870786753,313,2023-01-25 03:04:45.663510
1.0,0.21212121212121213,0.30303030303030304,0.0,0.0,386.2878787878788,12302,10267,17,8223,4.980769230769231,28.98076923076923,1735,10106,23,17,12,0.9498051075416135,95.28110286979063,0.9197058070720764,349,2023-01-25 04:30:08.276682
1.0,0.25757575757575757,0.36363636363636365,0.0,0.0,287.7121212121212,5328,3308,6,2364,4.877551020408164,28.387755102040817,1497,3362,26,11,12,0.9512404784274359,95.37109081101099,0.9278173117297818,509,2023-01-25 05:52:15.238859
0.5,0.2878787878787879,1.0,0.0,0.0,188.16666666666666,5804,0,0,1802,4.8936170212765955,31.93617021276596,4738,33,40,2,5,0.745642729837992,80.98997684301753,0.7438101459364322,17,2023-01-25 07:13:57.074004
0.5,0.30303030303030304,1.0,0.0,0.0,197.63636363636363,5376,0,0,1697,4.891304347826087,28.869565217391305,4136,56,35,6,5,0.7685772943812373,82.43049885151824,0.7523461372933984,113,2023-01-25 08:35:22.047851
0.5,0.3333333333333333,1.0,0.0,0.0,201.8939393939394,5650,0,0,1739,4.636363636363637,29.227272727272727,4107,308,34,7,3,0.7659461258317279,82.34749177558174,0.7559329887755044,313,2023-01-25 09:57:12.629975
0.5,0.30303030303030304,1.0,0.0,0.0,209.92424242424244,5159,0,0,1665,4.913043478260869,35.91304347826087,3515,246,35,6,5,0.7870199206258754,83.36113582383862,0.7726150930761599,349,2023-01-25 11:20:47.874971
0.5,0.2727272727272727,1.0,0.0,0.0,209.16666666666666,4926,0,0,1605,5.125,35.145833333333336,3433,114,36,9,3,0.7928153647022794,83.9592671132533,0.7774222766704572,509,2023-01-25 12:43:11.985764
0.7,0.2878787878787879,1.0,0.0,0.0,199.13636363636363,5312,0,0,1701,4.829787234042553,33.0,4015,34,38,3,6,0.7714642519425111,82.43739494733059,0.7548452350987684,17,2023-01-25 14:05:23.382959
0.7,0.3181818181818182,0.9848484848484849,0.0,0.0,201.37878787878788,5233,0,0,1698,4.933333333333334,30.31111111111111,3914,81,36,3,6,0.774990388453141,83.15449634939894,0.767632132768928,113,2023-01-25 15:28:04.066292
0.7,0.3181818181818182,0.9848484848484849,0.0,0.0,191.86363636363637,5819,0,0,1805,4.777777777777778,28.0,4596,135,33,7,5,0.7499304925272713,81.43125377703738,0.7448147334296052,313,2023-01-25 16:51:38.184147
0.7,0.2727272727272727,0.9848484848484849,0.0,0.0,211.95454545454547,5623,0,0,1776,4.9375,35.208333333333336,3615,480,33,10,5,0.7776270760897186,82.41985550827091,0.7519875575909185,349,2023-01-25 18:16:28.355155
0.7,0.3181818181818182,0.9696969696969697,0.0,0.0,207.12121212121212,4895,0,0,1589,5.0,29.844444444444445,3515,61,32,7,6,0.7919249641645582,83.9230637508779,0.7799426564420826,509,2023-01-25 19:38:18.577211
0.9,0.24242424242424243,0.45454545454545453,0.0,0.0,211.95454545454547,4924,0,0,1595,4.86,33.6,3408,273,30,15,5,0.7990065329532685,85.44968343224187,0.7587060049011859,17,2023-01-25 21:02:52.557833
0.9,0.3181818181818182,0.4696969696969697,0.0,0.0,194.1060606060606,5499,0,0,1742,5.022222222222222,31.333333333333332,4427,114,32,9,4,0.7757112354480573,83.99916582309407,0.7468654692764737,113,2023-01-25 22:25:12.237895
0.9,0.2727272727272727,0.4393939393939394,0.0,0.0,199.8939393939394,5339,0,0,1704,4.8125,27.229166666666668,4116,185,33,11,4,0.785293387647255,84.51836626912667,0.7530994314567769,313,2023-01-25 23:47:15.071875
0.9,0.2878787878787879,0.4393939393939394,0.0,0.0,190.9848484848485,5574,0,0,1717,4.851063829787234,28.0,4611,92,35,7,5,0.7710088312890927,83.55081520948269,0.7405643975672047,349,2023-01-26 01:10:11.850064
0.9,0.2878787878787879,0.45454545454545453,0.0,0.0,196.87878787878788,5313,0,0,1651,4.9361702127659575,29.851063829787233,4274,144,35,6,6,0.7959140806814019,85.19425927509744,0.7562692690311456,509,2023-01-26 02:32:17.996463
0.3,0.30303030303030304,1.0,0.0,0.0,204.5151515151515,5470,0,0,1717,5.0,37.04347826086956,3888,262,36,7,3,0.7731041107455132,82.47752662529926,0.7646049823414385,17,2023-01-26 03:55:06.661194
0.3,0.30303030303030304,1.0,0.0,0.0,201.5,5468,0,0,1729,5.086956521739131,33.15217391304348,4009,184,38,5,3,0.7677028787067204,82.26968045317925,0.7599976495702663,113,2023-01-26 05:17:35.341745
0.3,0.30303030303030304,1.0,0.0,0.0,203.0,5221,0,0,1653,4.8478260869565215,32.78260869565217,3844,118,31,9,6,0.7770890840839919,82.96143538635219,0.7622229273412034,313,2023-01-26 06:40:11.460515
0.3,0.30303030303030304,1.0,0.0,0.0,199.24242424242425,5447,0,0,1717,4.869565217391305,33.21739130434783,4095,121,35,5,6,0.76970447518943,82.4408828161083,0.7505513875253973,349,2023-01-26 08:02:51.467544
0.3,0.30303030303030304,1.0,0.0,0.0,201.06060606060606,5466,0,0,1747,4.826086956521739,29.543478260869566,3990,136,39,4,3,0.7674557976016944,82.13808999631954,0.7556755418744332,509,2023-01-26 09:25:30.093211
0.1,0.2727272727272727,1.0,0.0,0.0,185.5909090909091,6066,0,0,1889,4.958333333333333,27.895833333333332,4919,44,38,5,5,0.7201344761578046,79.11608239551471,0.7174473792162654,17,2023-01-26 10:49:45.889285
0.1,0.30303030303030304,1.0,0.0,0.0,192.42424242424244,5552,0,0,1682,4.891304347826087,30.67391304347826,4503,79,35,5,6,0.7477973473789394,81.15175212803256,0.7474412162598494,113,2023-01-26 12:11:44.131238
0.1,0.2727272727272727,1.0,0.0,0.0,194.56060606060606,5909,0,0,1900,4.75,29.645833333333332,4362,79,37,5,6,0.7326034106561555,79.72192018620765,0.7301906182599182,313,2023-01-26 13:34:48.862201
0.1,0.30303030303030304,1.0,0.0,0.0,194.25757575757575,5450,0,0,1691,4.673913043478261,28.043478260869566,4336,33,36,4,6,0.7499611377819657,80.99073655757734,0.7542720289434207,349,2023-01-26 14:57:19.624823
0.1,0.2878787878787879,1.0,0.0,0.0,185.24242424242425,5910,0,0,1798,4.957446808510638,30.361702127659573,4933,35,40,2,5,0.7273116986821293,79.48060713492889,0.7301415768738158,509,2023-01-26 16:22:01.179185
0.8,0.2878787878787879,0.803030303030303,0.0,0.0,196.42424242424244,5631,0,0,1827,5.297872340425532,35.744680851063826,4253,93,36,5,6,0.7601341293379751,82.01638843091459,0.7498393417422891,17,2023-01-26 17:47:05.409832
0.8,0.30303030303030304,0.803030303030303,0.0,0.0,200.54545454545453,5353,0,0,1741,4.934782608695652,32.82608695652174,3979,91,36,4,6,0.7711089378005588,83.03418372723125,0.7644984270421067,113,2023-01-26 19:09:48.714058
0.8,0.2878787878787879,0.8484848484848485,0.0,0.0,193.53030303030303,5622,0,0,1776,5.191489361702128,31.851063829787233,4433,82,36,6,5,0.7570926025874359,82.24973976451835,0.7523537155840339,313,2023-01-26 20:32:05.293573
0.8,0.2878787878787879,0.7878787878787878,0.0,0.015151515151515152,192.04545454545453,5664,0,0,1777,5.212765957446808,30.617021276595743,4491,42,39,5,3,0.7525023275244604,81.39047441514292,0.7376011363342739,349,2023-01-26 21:53:47.041623
0.8,0.3333333333333333,0.7575757575757576,0.0,0.0,199.12121212121212,5250,0,0,1709,5.204545454545454,30.40909090909091,4037,55,35,3,6,0.7776172754306874,83.1911662342416,0.7611767686478008,509,2023-01-26 23:17:16.280224
0.95,0.25757575757575757,0.4696969696969697,0.0,0.0,204.84848484848484,5130,0,0,1631,4.938775510204081,34.46938775510204,3865,261,29,10,10,0.8640169662914259,89.00623354079087,0.7903035560116193,17,2023-01-27 00:39:59.047389
0.95,0.3333333333333333,0.42424242424242425,0.0,0.0,203.86363636363637,4764,0,0,1470,5.0,30.113636363636363,3754,85,32,8,4,0.8811714087095209,90.31855699228501,0.8139937553523642,113,2023-01-27 02:01:49.681075
0.95,0.25757575757575757,0.4393939393939394,0.0,0.0,198.9848484848485,5245,0,0,1626,4.979591836734694,27.244897959183675,4202,211,32,10,7,0.8725151696120169,89.64993788212975,0.7948558463830673,313,2023-01-27 03:23:38.397924
0.95,0.2727272727272727,0.4090909090909091,0.0,0.0,201.06060606060606,5039,0,0,1592,4.791666666666667,27.854166666666668,3967,113,34,11,3,0.856538090916988,88.11534892579476,0.7782305523366153,349,2023-01-27 04:46:59.890576
1.2,0.16666666666666666,0.3333333333333333,0.0,0.0,337.77272727272725,6733,5869,12,832,3.4363636363636365,-2.272727272727273,395,5564,7,33,15,0.9245038240595289,93.7276640900536,0.8807427415847011,17,2023-01-27 06:11:34.698147
0.95,0.2727272727272727,0.42424242424242425,0.0,0.0,195.1818181818182,5380,0,0,1641,4.770833333333333,32.4375,4433,191,31,12,5,0.8752466822430827,89.80332857502786,0.819401944649646,509,2023-01-27 07:35:26.568347
1.2,0.16666666666666666,0.3333333333333333,0.0,0.0,369.45454545454544,8550,7829,15,1533,2.981818181818182,-8.727272727272727,227,7487,4,36,15,0.9190168087956818,93.47877923178278,0.8741282291652264,113,2023-01-27 08:57:31.901222
1.2,0.16666666666666666,0.3181818181818182,0.0,0.0,347.2121212121212,7216,6517,13,1060,3.3636363636363638,-0.9272727272727272,296,6088,5,32,18,0.9200675609718236,93.30985081936925,0.8733988269538325,313,2023-01-27 10:23:23.249725
1.2,0.15151515151515152,0.2878787878787879,0.0,0.0,368.07575757575756,8496,7684,15,768,3.25,1.2142857142857142,273,7442,4,40,12,0.9257537078512801,93.80048023699834,0.8764058953395152,349,2023-01-27 11:47:04.724316
1.2,0.15151515151515152,0.3181818181818182,0.0,0.0,374.56060606060606,8811,8215,16,1707,3.2857142857142856,-1.9285714285714286,149,7746,2,38,16,0.9146985852662355,92.91670220715027,0.8646495140437054,509,2023-01-27 13:09:42.029014
-0.2,0.24242424242424243,1.0,0.0,0.0,189.6818181818182,5850,0,0,1794,4.68,29.66,4706,101,37,6,7,0.7281107255447535,79.41435834549945,0.7322549918781304,17,2023-01-27 14:31:50.185304
-0.2,0.2878787878787879,1.0,0.0,0.0,205.37878787878788,5153,0,0,1695,4.76595744680851,29.93617021276596,3637,68,34,6,7,0.7618461948979554,81.46627406302972,0.7643294120301752,113,2023-01-27 15:54:46.664978
-0.2,0.24242424242424243,1.0,0.0,0.0,194.56060606060606,5862,0,0,1860,4.64,25.96,4386,103,37,7,6,0.7335860063790715,79.4076331743029,0.7382527057838906,313,2023-01-27 17:18:56.034411
-0.2,0.30303030303030304,1.0,0.0,0.0,193.5909090909091,5483,0,0,1665,4.6521739130434785,29.108695652173914,4414,67,37,5,4,0.7443712998575632,80.42483666426071,0.7460956083047214,349,2023-01-27 18:43:14.679613
-0.2,0.2878787878787879,1.0,0.0,0.0,189.72727272727272,5751,0,0,1775,4.74468085106383,27.404255319148938,4657,55,37,4,6,0.726776090588922,79.18927215125625,0.7349852632255565,509,2023-01-27 20:07:39.564723
0.85,0.2878787878787879,0.5606060606060606,0.0,0.0,212.12121212121212,5510,0,0,1694,4.74468085106383,29.19148936170213,3717,593,30,11,6,0.7802396648237765,83.92126340752985,0.7597607315675348,17,2023-01-27 21:31:51.055144
0.85,0.2878787878787879,0.5303030303030303,0.0,0.0,198.4090909090909,5534,0,0,1788,4.9787234042553195,33.42553191489362,4136,107,35,7,5,0.7591958208559906,82.51072738950901,0.7407799794520346,113,2023-01-27 22:56:11.465093
0.85,0.2727272727272727,0.5303030303030303,0.0,0.0,198.77272727272728,5463,0,0,1753,4.916666666666667,29.9375,4129,124,33,10,5,0.7630677762866189,82.6930098776084,0.7427757564987414,313,2023-01-28 00:19:59.170075
0.85,0.2727272727272727,0.5,0.0,0.0,199.16666666666666,5491,0,0,1763,4.916666666666667,25.041666666666668,4102,123,34,10,4,0.7613173906054256,82.62452770735482,0.745444027157276,349,2023-01-28 01:42:05.536829
0.85,0.3181818181818182,0.5303030303030303,0.0,0.0,200.13636363636363,5340,0,0,1747,4.977777777777778,31.57777777777778,4021,106,33,8,4,0.7713104801054634,83.3100643048887,0.751501744065279,509,2023-01-28 03:05:44.224947
0.975,0.3181818181818182,0.3787878787878788,0.0,0.0,209.1060606060606,4233,0,0,1224,4.955555555555556,29.066666666666666,3437,114,29,13,3,0.9202966745819341,93.28011848670629,0.8730523171420949,17,2023-01-28 12:38:22.917820
0.975,0.3181818181818182,0.3939393939393939,0.0,0.0,218.25757575757575,4631,565,1,1392,4.933333333333334,27.68888888888889,3338,619,31,8,6,0.9192932412338198,93.15742102546973,0.8864929960897047,113,2023-01-28 14:02:10.028051
0.975,0.25757575757575757,0.3484848484848485,0.0,0.0,207.72727272727272,5194,0,0,1489,4.673469387755102,22.306122448979593,3994,580,35,7,7,0.9171045927536884,92.8803809148119,0.8706885726977963,313,2023-01-28 15:26:11.425670
0.975,0.21212121212121213,0.36363636363636365,0.0,0.0,200.9090909090909,4694,0,0,1374,5.1923076923076925,32.25,3913,49,35,12,5,0.9054775423140329,92.02385574552581,0.8538763873945892,349,2023-01-28 16:48:13.994218
0.975,0.22727272727272727,0.3333333333333333,0.0,0.0,250.36363636363637,6192,2358,4,2064,4.921568627450981,28.705882352941178,2967,2367,28,15,8,0.9057330511549877,92.31956095130211,0.8606762349586118,509,2023-01-28 18:12:14.213291
1.1,0.19696969696969696,0.3484848484848485,0.0,0.0,407.8333333333333,12953,11310,19,7511,4.7924528301886795,26.132075471698112,1300,11093,16,24,13,0.9431957104130932,94.83117108774914,0.9236699724261314,17,2023-01-29 02:31:01.829494
1.1,0.21212121212121213,0.3333333333333333,0.0,0.0,443.8030303030303,14297,13272,23,7887,4.403846153846154,19.76923076923077,749,12916,11,26,15,0.9407544296717014,94.80542660432715,0.9190724237008958,113,2023-01-29 03:53:30.646944
1.1,0.19696969696969696,0.30303030303030304,0.0,0.0,450.93939393939394,15521,14057,24,7701,4.566037735849057,22.528301886792452,1145,13783,11,29,13,0.9416459487606365,94.70780287610043,0.9111599846161189,313,2023-01-29 05:15:39.622292
1.1,0.21212121212121213,0.3484848484848485,0.0,0.0,424.77272727272725,14162,12519,21,8787,4.1923076923076925,17.173076923076923,1360,12271,15,23,14,0.9453293946421983,94.95190522607811,0.9170632393232416,349,2023-01-29 06:39:19.851498
1.1,0.22727272727272727,0.4090909090909091,0.0,0.0,428.25757575757575,13063,12069,20,5810,4.470588235294118,16.372549019607842,644,11785,13,24,14,0.9407401712722964,94.67103275892173,0.9210219174724539,509,2023-01-29 08:01:16.584449